DateTime,Condition,Rain,MaxTemp,MinTemp,SunRise,SunSet,MoonRise,MoonSet,AvgWind,AvgHumidity,AvgPressure
02.09.2019,Partly cloudy,0,27,22,6:32:00,19:37:00,9:52:00,21:45:00,23,66,1012
01.09.2019,Partly cloudy,0,27,22,6:31:00,19:38:00,8:37:00,21:13:00,21,66,1011
31.08.2019,Patchy rain possible,0.5,26,22,6:30:00,19:40:00,7:21:00,20:40:00,22,63,1015
30.08.2019,Partly cloudy,0,27,22,6:29:00,19:42:00,6:04:00,20:05:00,20,64,1016
29.08.2019,Partly cloudy,0,27,23,6:27:00,19:43:00,4:47:00,19:26:00,24,61,1015
28.08.2019,Sunny,0,28,24,6:26:00,19:44:00,3:34:00,18:41:00,27,58,1016
27.08.2019,Partly cloudy,0,30,24,6:25:00,19:46:00,2:27:00,17:50:00,27,61,1016
26.08.2019,Sunny,0,30,24,6:24:00,19:47:00,1:31:00,16:51:00,25,66,1015
25.08.2019,Partly cloudy,0,30,24,6:23:00,19:49:00,12:42:00,15:49:00,20,69,1015
24.08.2019,Partly cloudy,0,30,24,6:22:00,19:50:00,12:03:00,14:45:00,19,71,1017
23.08.2019,Partly cloudy,0,28,24,6:21:00,19:52:00,,13:42:00,20,74,1016
22.08.2019,Partly cloudy,0,29,24,6:20:00,19:53:00,23:29:00,0:39:00,17,71,1016
21.08.2019,Patchy rain possible,0.5,28,21,6:19:00,19:55:00,23:00:00,11:39:00,15,70,1016
20.08.2019,Partly cloudy,0,27,22,6:18:00,19:56:00,22:33:00,10:39:00,20,65,1017
19.08.2019,Partly cloudy,0,26,22,6:17:00,19:58:00,22:08:00,9:42:00,18,61,1016
18.08.2019,Patchy rain possible,0.8,26,21,6:16:00,19:59:00,21:44:00,8:43:00,13,58,1015
17.08.2019,Torrential rain shower,15.7,25,18,6:15:00,20:01:00,21:18:00,7:45:00,19,72,1013
16.08.2019,Patchy rain possible,1.2,26,23,6:14:00,20:02:00,20:51:00,6:46:00,19,73,1011
15.08.2019,Cloudy,0.2,27,24,6:13:00,20:03:00,20:21:00,5:48:00,15,75,1007
14.08.2019,Partly cloudy,0,29,24,6:12:00,20:05:00,19:47:00,4:50:00,17,72,1007
13.08.2019,Sunny,0,29,24,6:11:00,20:06:00,19:08:00,3:54:00,28,61,1010
12.08.2019,Sunny,0,29,24,6:10:00,20:07:00,18:22:00,3:02:00,30,55,1013
11.08.2019,Sunny,0,28,23,6:09:00,20:09:00,17:31:00,2:14:00,26,63,1015
10.08.2019,Partly cloudy,0,30,23,6:08:00,20:10:00,16:33:00,1:31:00,20,59,1013
09.08.2019,Sunny,0,29,23,6:07:00,20:11:00,15:32:00,12:52:00,20,61,1011
08.08.2019,Sunny,0,29,23,6:06:00,20:12:00,14:26:00,12:18:00,19,59,1013
07.08.2019,Sunny,0,28,22,6:05:00,20:14:00,13:19:00,,22,59,1015
