S.NO,Name,Nationality,Current Rank,Previous Year Rank,Sport,Year,earnings_Usmillion
1,Mike Tyson,USA,1,,boxing,1990,28.6
2,Buster Douglas,USA,2,,boxing,1990,26
3,Sugar Ray Leonard,USA,3,,boxing,1990,13
4,Ayrton Senna,Brazil,4,,auto racing,1990,10
5,Alain Prost,France,5,,auto racing,1990,9
6,Jack Nicklaus,USA,6,,golf,1990,8.6
7,Greg Norman,Australia,7,,golf,1990,8.5
8,Michael Jordan,USA,8,,basketball,1990,8.1
9,Arnold Palmer,USA,8,,golf,1990,8.1
10,Evander Holyfield,USA,8,,boxing,1990,8.1
11,Evander Holyfield,USA,1,8,boxing,1991,60.5
12,Mike Tyson,USA,2,1,boxing,1991,31.5
13,Michael Jordan,USA,3,8,basketball,1991,16
14,George Foreman,USA,4,>30,boxing,1991,14.5
15,Ayrton Senna,Brazil,5,4,auto racing,1991,13
16,Alain Prost,France,6,5,auto racing,1991,11
17,"Donovan ""Razor"" Ruddock",Canada,7,>30,boxing,1991,10.2
18,Arnold Palmer,USA,8,8,golf,1991,9.3
19,Nigel Mansell,UK,9,12,auto racing,1991,9
20,Sugar Ray Leonard,USA,10,6,golf,1991,8.5
21,Michael Jordan,USA,1,3,basketball,1992,35.9
22,Evander Holyfield,USA,2,1,boxing,1992,28
23,Ayrton Senna,Brazil,3,5,auto racing,1992,22
24,Nigel Mansell,UK,4,9,auto racing,1992,14.5
25,Arnold Palmer,USA,5,8,golf,1992,11.1
26,Andre Agassi,USA,6,17,tennis,1992,11
27,Joe Montana,USA,7,13,nfl,1992,9.5
28,Sugar Ray Leonard,USA,8,10,golf,1992,9.2
29,Jim Courier,USA,9,>40,tennis,1992,9
30,Monica Seles,USA,10,12,tennis,1992,8.5
31,Michael Jordan,USA,1,1,basketball,1993,36
32,Riddick Bowe,USA,2,>40,boxing,1993,25
33,Ayrton Senna,Brazil,3,3,auto racing,1993,18.5
34,Alain Prost,France,4,>40,auto racing,1993,16
35,George Foreman,USA,5,19,boxing,1993,15.8
36,Shaquille O'Neal,USA,6,>40,nba,1993,15.2
37,Lennox Lewis,USA,7,>40,boxing,1993,15
38,Cecil Fielder,USA,8,40,baseball,1993,12.7
39,Jim Courier,USA,9,9,tennis,1993,12.6
40,Joe Montana,USA,10,7,nfl,1993,11.5
41,Michael Jordan,USA,1,1,basketball,1994,30
42,Shaq O'Neal,USA,2,6,basketball,1994,16.7
43,Jack Nicklaus,USA,3,13,golf,1994,14.8
44,Arnold Palmer,USA,4,11,golf,1994,13.6
45,Gerhard Berger,Austria,5,30,auto racing,1994,13.5
46,Wayne Gretzky,Canada,5,22,ice hockey,1994,13.5
47,Michael Moorer,USA,7,>40,boxing,1994,12.1
48,Evander Holyfield,USA,8,12,boxing,1994,12
49,Andre Agassi,USA,9,20,tennis,1994,11.4
50,Nigel Mansell,UK,10,19,auto racing,1994,11.3
51,Michael Jordan,USA,1,1,basketball,1995,43.9
52,Mike Tyson,USA,2,not ranked,boxing,1995,40
53,Deion Sanders,USA,3,38,american football / baseball,1995,22.5
54,Riddick Bowe,USA,4,not ranked,boxing,1995,22.2
55,Shaquille O'Neal,USA,5,2,basketball,1995,21.9
56,George Foreman,USA,6,15,boxing,1995,18
57,Andre Agassi,USA,7,9,tennis,1995,16
58,Sugar Ray Leonard,USA,8,3,golf,1995,15.1
59,Michael Schumacher,Germany,9,30,auto racing,1995,15
60,Wayne Gretzky,Canada,10,5,ice hockey,1995,14.5
61,Mike Tyson,USA,1,2,boxing,1996,75
62,Michael Jordan,USA,2,1,basketball,1996,52.6
63,Michael Schumacher,Germany,3,9,f1 motorsports,1996,33
64,Shaquille O'Neal,USA,4,5,basketball,1996,24.4
65,Emmit Smith,USA,5,not ranked,nfl,1996,16.5
66,Evander Holyfield,USA,6,14,boxing,1996,15.5
67,Andre Agassi,USA,7,7,tennis,1996,15.2
68,Arnold Palmer,USA,8,11,golf,1996,15.1
69,Dennis Rodman,USA,9,not ranked,basketball,1996,12.9
70,Patrick Ewing,USA,9,19,basketball,1996,12.9
71,Michael Jordan,USA,1,2,basketball,1997,78.3
72,Evander Holyfield,USA,2,6,boxing,1997,54.3
73,Oscar De La Hoya,USA,3,17,boxing,1997,38
74,Michael Schumacher,Germany,4,3,f1 motorsports,1997,35
75,Mike Tyson,USA,5,1,boxing,1997,27
76,Tiger Woods,USA,6,26,golf,1997,26.1
77,Shaquille O'Neal,USA,7,4,basketball,1997,25.4
78,Dale Earnhardt,USA,8,20,nascar,1997,19.1
79,Joe Sakic,Canada,9,none,hockey,1997,17.9
80,Grant Hill,USA,10,18,basketball,1997,17
81,Michael Jordan,USA,1,,basketball,1998,69
82,Michael Schumacher,Germany,2,,f1 motorsports,1998,38
83,Sergei Federov,Russia,3,,ice hockey,1998,29.8
84,Tiger Woods,USA,4,,golf,1998,26.8
85,Dale Earnhardt,USA,5,,nascar,1998,24.1
86,Grant Hill,USA,6,,basketball,1998,21.6
87,Oscar De La Hoya,USA,7,,boxing,1998,18.5
88,Patrick Ewing,USA,8,,basketball,1998,18.3
89,Arnold Palmer,USA,9,,golf,1998,18.1
90,Gary Sheffield,USA,10,,baseball,1998,17.2
91,Michael Schumacher,Germany,1,2,auto racing,1999,49
92,Tiger Woods,USA,2,4,golf,1999,47
93,Oscar De La Hoya,USA,3,7,boxing,1999,43.5
94,Michael Jordan,USA,4,1,basketball,1999,40
95,Evander Holyfield,USA,5,>10,boxing,1999,35.5
96,Mike Tyson,USA,6,>10,boxing,1999,33
97,Shaq O'Neal,USA,7,>10,basketball,1999,31
98,Lennox Lewis,USA,8,>10,boxing,1999,29
99,Dale Earnhardt,USA,9,5,auto racing,1999,26.5
100,Grant Hill,USA,10,6,basketball,1999,23
101,Michael Schumacher,Germany,1,1,auto racing,2000,59
102,Tiger Woods,USA,2,2,golf,2000,53
103,Mike Tyson,USA,3,6,boxing,2000,48
104,Michael Jordan,USA,4,4,basketball,2000,37
105,Grant Hill,USA,5,10,basketball,2000,26
106,Dale Earnhardt,USA,6,9,auto racing (nascar),2000,24.5
107,Shaq O'Neal,USA,7,7,basketball,2000,24
108,Lennox Lewis,USA,8,8,boxing,2000,23
109,Oscar De La Hoya,USA,9,3,boxing,2000,23
110,Kevin Garnett,USA,10,>10,basketball,2000,21
111,Tiger Woods,USA,1,2,golf,2002,69
112,Michael Schumacher,Germany,2,1,f1 motorsports,2002,67
113,Michael Jordan,USA,3,4,basketball,2002,36
114,Lennox Lewis,USA,4,8,boxing,2002,28
115,Grant Hill,USA,5,5,basketball,2002,24
116,Shaquille O'Neal,USA,5,7,basketball,2002,24
