Zip Code,County,City
50002,Adair,Adair
50003,Dallas,Adel
50005,MARSHALL,Albion
50006,Hardin,Alden
50009,Polk,Altoona
50010,Story,Ames
50014,Story,Ames
50015,Story,AMES
50020,Cass,Anita
50021,Polk,Ankeny
50022,Cass,Atlantic
50023,Polk,Ankeny
50025,Audubon,Audubon
50028,Jasper,Baxter
50033,WARREN,Bevington
50035,Polk,Bondurant
50036,Boone,Boone
50044,Marion,Bussey
50046,Story,Cambridge
50047,Warren,Carlisle
50048,Guthrie,Casey
50049,Lucas,Chariton
50054,Jasper,Colfax
50056,Story,Colo
50058,Carroll,Coon Rapids
50060,Wayne,Corydon
50061,Warren,Cumming
50069,Dallas,De Soto
50071,Wright,Dows
50072,Madison,Earlham
50075,Hamilton,Ellsworth
50076,Audubon,Exira
50107,Greene,Grand Junction
50109,Dallas,Granger
50111,Polk,Grimes
50112,Poweshiek,Grinnell
50115,Guthrie,Guthrie Center
50122,Hardin,Hubbard
50123,Wayne,Humeston
50124,Story,Huxley
50125,Warren,Indianola
50126,Hardin,Iowa Falls
50129,Linn,Marion
50130,Hamilton,Jewell
50131,Polk,Johnston
50135,Jasper,Kellogg
50136,Jasper,KELLOG
50138,Marion,Knoxville
50140,Decatur,Lamoni
50142,Marshall,Le Grand
50144,Decatur,Leon
50150,Monroe,Lovilia
50156,Boone,Madrid
50158,Marshall,Marshalltown
50160,Warren,Martensdale
50161,Story,Maxwell
50162,Marshall,Melbourne
50163,Marion,Melcher-dallas
50169,POLK,Mitchellville
50170,Jasper,Monroe
50171,Poweshiek,Montezuma
50174,Clarke,MURRAY
50201,Story,Nevada
50206,Jasper,Newton
50207,Mahaska,New Sharon
50208,Jasper,Newton
50210,Warren,New Virginia
50211,Warren,Norwalk
50212,Boone,Ogden
50213,Clarke,Osceola
50216,Guthrie,Panora
50219,Marion,Pella
50220,Dallas,Perry
50225,Marion,Pleasantville
50226,Polk,Polk City
50228,Jasper,Prairie City
50237,POLK,Runnells
50240,Madison,St Charles
50244,Story,Slater
50247,Marshall,State Center
50248,Story,Story City
50249,Hamilton,Stratford
50250,Adair,Stuart
50251,Jasper,Sully
50257,MADISON,Truro
50261,Dallas,Van Meter
50263,Dallas,Waukee
50265,Polk,West Des Moines
50266,Polk,West Des Moines
50273,Madison,Winterset
50276,Dallas,Woodward
50300,Polk,DES MOINES
50309,Polk,Des Moines
50310,Polk,Des Moines
50311,Polk,Windsor Heights
50312,Polk,Des Moines
50313,Polk,Des Moines
50314,Polk,Des Moines
50315,Polk,Des Moines
50316,Polk,Des Moines
50317,Polk,Pleasant Hill
50320,Polk,Des Moines
50321,Polk,Des Moines
50322,Polk,Windsor Heights
50323,Polk,Urbandale
50324,Polk,Windsor Heights
50325,Polk,Clive
50327,Polk,Pleasant Hill
50401,Cerro Gordo,Mason City
50421,Wright,Belmond
50423,Hancock,Britt
50424,Winnebago,Buffalo Center
50428,Cerro Gordo,ClearLake
50430,Hancock,Corwith
50435,Floyd,Floyd
50436,Winnebago,Forest City
50438,Hancock,Garner
50441,Franklin,Hampton
50447,HANCOCK,Kanawha
50450,Winnebago,Lake Mills
50452,Franklin,Latimer
50456,Worth,Manly
50458,Floyd,Nora Springs
50459,Worth,Northwood
50461,Mitchell,Osage
50466,Mitchell,Riceville
50469,Cerro Gordo,Rockwell
50472,Mitchell,St Ansgar
50475,Franklin,Sheffield
50483,Kossuth,Wesley
50501,Webster,Fort Dodge
50510,BUENA VIST,Albert City
50511,Kossuth,Algona
50514,Emmet,Armstrong
50517,Kossuth,Bancroft
50525,Wright,Clarion
50529,Humboldt,Dakota City
50530,Webster,Dayton
50533,Wright,Eagle Grove
50535,Sac,Early
50536,Palo Alto,Emmetsburg
